url,rank2017,startedDateTime,cdn,reqTotal,reqHtml,reqJS,reqCSS,reqImg,bytesTotal,bytesHtml,bytesJS,bytesCSS,bytesImg,TTFB,performanceScore,firstContentfulPaint,maxPotentialFirstInputDelay,speedIndex,firstMeaningfulPaint,firstCPUIdle,timeToInteractive
www.fct.unesp.br,14194,1583889732,"",68,3,21,8,28,3030417,13543,855723,103570,1933663,2230,0.16,4598,331,12710,4598,7819,20648
www.fmvz.unesp.br,14194,1583241546,"",88,7,22,8,43,4019259,32536,852906,103828,2905184,2224,0.16,4392,303,14502,4392,7557,25204
www.sjbv.unesp.br,14194,1584468511,"",73,4,21,8,31,4518767,13658,858189,103708,3186416,2248,0.13,4837,382,18476,4837,8081,22976
www.unesp.br,14194,1584867077,"",89,4,24,9,46,8977250,26947,909535,104371,7719664,5142,0.07,7259,134,20770,7259,7675,47148
www.clp.unesp.br,14194,1583734316,"",79,2,21,8,36,5976747,13627,854810,103570,4716069,3273,0.1,5232,424,19879,5232,8751,36934
www.ippri.unesp.br,14194,1584332826,"",48,1,16,7,15,818539,4008,389576,59444,256658,2276,0.33,4634,302,9657,4634,7539,7539
www.sorocaba.unesp.br,14194,1584755227,"",54,1,16,7,24,2179265,4010,389554,59444,1617556,2421,0.32,4668,282,10312,4668,7688,7688
www.fmva.unesp.br,14194,1583385948,"",65,1,16,7,34,3311651,3976,389351,59444,2747189,2094,0.3,4628,422,15194,4628,7684,7684
www.fmb.unesp.br,14194,1584309660,"",88,2,23,8,46,10318047,13960,904588,103708,9169329,3623,0.13,4777,374,27348,4777,8266,50300
www.btu.unesp.br,14194,1584491399,"",76,3,21,8,35,4746058,13606,858291,103708,3646885,2335,0.05,6529,356,22714,6529,10909,28249
www.ibilce.unesp.br,14194,1583299644,"",80,2,20,8,41,6198695,13622,854777,103828,5099285,2071,0.14,4614,396,21086,4614,7879,31161
www.foa.unesp.br,14194,1583399044,"",76,1,16,7,45,4590124,3969,389351,59444,4028403,2267,0.3,4587,345,17544,4587,7821,7821
www.ia.unesp.br,14194,1584057293,"",49,1,16,7,19,2948097,3975,389576,59444,2387846,2056,0.32,4437,313,12629,4437,7662,7662
www.rc.unesp.br,14194,1584196587,"",52,1,5,2,44,1018265,47836,179085,18935,772409,2698,0.36,5313,55,6540,7589,7597,7597
www.registro.unesp.br,14194,1584740485,"",65,1,16,7,34,5206812,4029,389554,59444,4644912,2746,0.3,4753,477,10198,4753,7975,7975
www.foar.unesp.br,14194,1583191524,"",70,3,21,8,31,3637505,13290,852893,103828,2545645,3886,0.11,5114,438,17767,5114,8337,27793
www.tupa.unesp.br,14194,1583710281,"",60,1,16,7,29,6225313,3989,389351,59444,5662644,3777,0.04,10826,517,23293,10826,13977,13977
www.assis.unesp.br,14194,1583464242,"",83,1,16,7,52,5809115,3980,389351,59444,5246936,4086,0.12,7121,470,23939,7121,10533,10533
www.tuttoandroid.net,14195,1583260329,"",129,11,47,10,39,2111393,41538,737900,20403,1216838,2322,0.33,3144,236,7453,3144,12089,12089
www.tvtoday.de,14196,1583580966,"",114,10,45,5,42,2077201,90635,939858,58264,870714,1844,0.41,2015,202,7034,2743,7277,14782
m.tvtoday.de,14196,1583894950,"",110,10,44,4,41,1885067,28721,862901,23337,852642,1906,0.29,2623,169,16963,2958,8291,14452
m.wooribank.com,14197,1583253535,"",36,3,12,5,7,2860191,57629,1536697,213307,274561,4061,0.02,11904,301,13082,12161,18542,18542
www.uv.mx,14198,1583674466,"",68,6,24,9,25,1577635,47050,1085870,228093,115970,1473,0.4,3208,175,6492,4590,9375,9375
www.odu.edu,14199,1583684332,"",133,15,25,12,56,12162211,58375,907351,181494,10687927,4069,0.07,5382,182,11584,6518,19460,69089
www.cs.odu.edu,14199,1583464651,"",100,10,19,11,46,3272679,46982,413049,142158,2486507,1678,0.23,5323,153,5710,5902,8871,22947
odu.edu,14199,1584719729,"",129,14,25,12,49,9919755,58138,913915,181748,8437357,4270,0.13,5228,134,9926,6307,8330,57185
www.ablogtowatch.com,14200,1584762506,Cloudflare,140,7,64,25,35,2927900,56494,1251327,340239,1027936,1589,0.16,5494,571,7447,5494,10632,21257
www.coles.com.au,14201,1583094991,"",145,14,37,6,62,3868397,275202,551952,389339,1648517,2538,0.06,9109,263,9522,9109,11875,20740
www.sayweee.com,14202,1583348189,"",113,4,16,9,79,10906869,14958,360964,99079,10082812,2267,0.2,5550,497,5775,6160,11607,45586
www.asb.co.nz,14203,1583273697,"",61,9,17,1,16,1666854,247846,1235799,51839,68406,3867,0.07,8004,493,12530,11239,13417,13417
www.fashionbeans.com,14204,1583713030,Fastly,427,89,55,4,167,1906007,65623,1043474,7898,761463,1483,0.39,3097,263,4344,3916,12953,22536
rocket-league.com,14205,1583922706,Cloudflare,34,2,6,1,20,1440032,24877,219203,58696,994416,1920,0.64,3642,119,5600,6322,6322,3829
case.edu,14206,1584282640,"",138,9,37,5,54,2782216,47306,601881,14405,1977557,2358,0.35,3851,95,6446,4507,4699,23260
gtaforums.com,14207,1584084109,Cloudflare,115,10,43,10,42,1413432,56327,772994,71901,408859,1742,0.38,2764,259,5655,6225,11923,11923
www.xunta.gal,14209,1584520351,"",97,2,6,2,81,3357937,23932,276378,59982,2786879,5040,0.06,7601,187,11272,8812,9209,35102
www.edu.xunta.gal,14209,1584793083,"",98,2,7,27,58,959108,12980,100428,68824,686987,2826,0.14,6693,384,9545,6693,8858,13004
www.acuityscheduling.com,14212,1584381317,"",73,9,14,1,41,2071306,23321,281301,11315,1671454,1403,0.54,2667,70,4573,2755,5133,13872
acuityscheduling.com,14212,1584130730,"",71,11,14,1,41,2071257,23241,281305,11315,1671481,1686,0.5,2444,136,4981,2703,6707,13934
smallencode.com,14213,1583712477,Cloudflare,275,37,43,7,147,1047254,308226,405332,36940,243371,9253,0.26,3837,501,6692,5243,12561,14710
www.sportsmansguide.com,14214,1583186097,Cloudflare,163,5,74,4,71,2002395,24688,970123,167894,780036,1399,0.25,2706,828,8075,6649,17786,17786
www.filmesonlinegratis.com,14215,1583995627,Cloudflare,96,2,22,7,60,1113534,24841,312905,13751,723479,1395,0.69,1728,101,2811,1728,6721,9160
www.usu.ac.id,14217,1583234138,"",95,8,25,21,35,5006795,43185,582749,110054,4155390,3310,0.15,5287,492,11410,5287,6258,29942
www.hotmovies.com,14218,1583664927,"",113,2,11,1,97,3618241,32445,331880,46066,3130690,1890,0.52,2178,234,5100,2178,4672,22598
www.destinationtips.com,14219,1584193410,Cloudflare,65,4,24,10,22,1507693,15691,501986,58655,882173,1548,0.8,2632,119,3080,2632,5427,5427
skatteverket.se,14222,1584091248,"",41,1,16,7,13,698265,84001,288341,123612,172777,4417,0.44,4824,117,5934,5025,7141,7141
www.skatteverket.se,14222,1583819199,"",41,1,16,7,13,697961,83618,288390,123642,172777,4556,0.34,4884,867,5971,5086,9325,9325
www.nifty.org,14223,1583631673,CDN77,18,4,3,3,7,116933,7380,58312,23132,10053,1527,0.99,1660,25,1802,1660,1660,1660
javout.net,14225,1583289870,Cloudflare,191,25,32,10,82,1833138,27158,164868,41340,1459025,2236,0.47,2723,324,3593,5650,12564,12564
simplecapacity.com,14226,1584730948,Cloudflare,123,12,42,15,47,2128023,121206,797652,96728,940714,1962,0.49,2705,177,3445,2705,14368,14368
www.joinhandshake.com,14227,1583417097,Amazon CloudFront,56,3,22,1,19,1719307,73016,430022,171980,905329,1875,0.5,3739,69,6580,5811,6379,6379
app.joinhandshake.com,14227,1583952789,Google,45,3,18,2,11,1932996,5376,1591508,187528,18178,1883,0.4,4540,197,4746,4540,7255,11380
joinhandshake.com,14227,1584465796,Amazon CloudFront,56,3,22,1,19,1719744,73011,430464,171980,905329,1745,0.39,3763,85,6057,5869,6362,10949
www.bricklink.com,14228,1584556242,"",75,3,11,3,53,5644211,34820,1372918,89774,3714835,1996,0.03,9721,486,12472,11090,11447,32255
www.ipsy.com,14231,1584186769,"",153,16,67,5,34,4176651,52608,1788867,359318,1758284,2005,0.04,10026,172,12201,10026,10149,29634
zakupka.com,14233,1584666250,"",71,9,17,1,32,946582,51883,533813,29626,165530,2219,0.66,2110,190,3802,2179,7934,7934
coincheck.com,14234,1584689693,Amazon CloudFront,65,3,17,4,39,1024480,19435,388856,58677,490544,2634,0.41,5010,198,5463,5010,8142,8142
www.mail.nic.ru,14235,1583755583,"",12,3,4,2,3,576973,2361,333615,10588,230409,2522,0.69,4206,37,4911,4206,4206,4206
